STATION,LATITUDE,LONGITUDE,ELEVATION,DATE,PRCP
AUSTIN TX,30.421385,-97.740726,254.5,2016-11-04,1.53
AUSTIN TX,30.1733,-97.9167,286.8,2017-02-17,0.0
AUSTIN TX,30.1733,-97.9167,286.8,2017-02-18,0.0
AUSTIN TX,30.1733,-97.9167,286.8,2017-02-19,0.0
AUSTIN TX,30.1733,-97.9167,286.8,2017-02-20,1.79
AUSTIN TX,30.1733,-97.9167,286.8,2017-02-26,0.0
AUSTIN TX,30.1733,-97.9167,286.8,2017-02-27,0.0
AUSTIN TX,30.1733,-97.9167,286.8,2017-02-28,0.0
AUSTIN TX,30.1733,-97.9167,286.8,2017-03-01,0.0
AUSTIN TX,30.1733,-97.9167,286.8,2017-03-02,0.0
AUSTIN TX,30.1733,-97.9167,286.8,2017-03-03,0.0
AUSTIN TX,30.1733,-97.9167,286.8,2017-03-04,0.0
AUSTIN TX,30.1733,-97.9167,286.8,2017-03-05,1.01
AUSTIN TX,30.1733,-97.9167,286.8,2017-03-06,0.1
AUSTIN TX,30.1733,-97.9167,286.8,2017-03-07,0.01
AUSTIN TX,30.1733,-97.9167,286.8,2017-03-08,0.0
AUSTIN TX,30.1733,-97.9167,286.8,2017-03-09,0.0
AUSTIN TX,30.1733,-97.9167,286.8,2017-03-10,0.35
AUSTIN TX,30.1733,-97.9167,286.8,2017-03-11,0.08
AUSTIN TX,30.1733,-97.9167,286.8,2017-03-12,0.48
AUSTIN TX,30.1733,-97.9167,286.8,2017-03-13,0.0
AUSTIN TX,30.1733,-97.9167,286.8,2017-03-14,0.0
AUSTIN TX,30.1733,-97.9167,286.8,2017-03-15,0.0
AUSTIN TX,30.1733,-97.9167,286.8,2017-03-16,0.0
AUSTIN TX,30.1733,-97.9167,286.8,2017-03-17,0.0
AUSTIN TX,30.1733,-97.9167,286.8,2017-03-18,0.0
AUSTIN TX,30.1733,-97.9167,286.8,2017-03-19,0.0
AUSTIN TX,30.1733,-97.9167,286.8,2017-03-20,0.0
AUSTIN TX,30.1733,-97.9167,286.8,2017-03-21,0.0
AUSTIN TX,30.1733,-97.9167,286.8,2017-03-22,0.0
AUSTIN TX,30.1733,-97.9167,286.8,2017-03-23,0.0
AUSTIN TX,30.1733,-97.9167,286.8,2017-03-24,0.0
AUSTIN TX,30.1733,-97.9167,286.8,2017-03-25,0.0
AUSTIN TX,30.1733,-97.9167,286.8,2017-03-26,0.0
AUSTIN TX,30.1733,-97.9167,286.8,2017-03-27,0.0
AUSTIN TX,30.1733,-97.9167,286.8,2017-03-28,0.01
AUSTIN TX,30.1733,-97.9167,286.8,2017-03-29,1.27
AUSTIN TX,30.1733,-97.9167,286.8,2017-04-01,0.0
AUSTIN TX,30.1733,-97.9167,286.8,2017-04-02,0.11
AUSTIN TX,30.1733,-97.9167,286.8,2017-04-03,0.9
AUSTIN TX,30.1733,-97.9167,286.8,2017-04-04,0.0
AUSTIN TX,30.1733,-97.9167,286.8,2017-04-05,0.0
AUSTIN TX,30.1733,-97.9167,286.8,2017-04-06,0.0
AUSTIN TX,30.1733,-97.9167,286.8,2017-04-08,0.0
AUSTIN TX,30.1733,-97.9167,286.8,2017-04-09,0.0
AUSTIN TX,30.1733,-97.9167,286.8,2017-04-10,0.0
AUSTIN TX,30.1733,-97.9167,286.8,2017-04-11,0.51
AUSTIN TX,30.1733,-97.9167,286.8,2017-04-12,0.74
AUSTIN TX,30.1733,-97.9167,286.8,2017-04-13,0.0
AUSTIN TX,30.1733,-97.9167,286.8,2017-04-14,0.0
AUSTIN TX,30.1733,-97.9167,286.8,2017-04-15,0.0
AUSTIN TX,30.1733,-97.9167,286.8,2017-04-17,0.0
AUSTIN TX,30.1733,-97.9167,286.8,2017-04-18,0.03
AUSTIN TX,30.1733,-97.9167,286.8,2017-04-19,0.04
AUSTIN TX,30.1733,-97.9167,286.8,2017-04-20,0.0
AUSTIN TX,30.1733,-97.9167,286.8,2017-04-21,0.0
AUSTIN TX,30.1733,-97.9167,286.8,2017-04-22,0.0
AUSTIN TX,30.1733,-97.9167,286.8,2017-04-23,0.0
AUSTIN TX,30.1733,-97.9167,286.8,2017-04-24,0.0
AUSTIN TX,30.1733,-97.9167,286.8,2017-04-25,0.0
AUSTIN TX,30.1733,-97.9167,286.8,2017-04-26,0.0
AUSTIN TX,30.1733,-97.9167,286.8,2017-04-27,0.0
AUSTIN TX,30.1733,-97.9167,286.8,2017-04-28,0.0
AUSTIN TX,30.1733,-97.9167,286.8,2017-04-29,0.0
AUSTIN TX,30.1733,-97.9167,286.8,2017-04-30,0.13
AUSTIN TX,30.1733,-97.9167,286.8,2017-05-01,0.0
AUSTIN TX,30.1733,-97.9167,286.8,2017-05-02,0.0
AUSTIN TX,30.1733,-97.9167,286.8,2017-05-03,0.0
AUSTIN TX,30.1733,-97.9167,286.8,2017-05-04,0.0
AUSTIN TX,30.1733,-97.9167,286.8,2017-05-05,0.0
AUSTIN TX,30.1733,-97.9167,286.8,2017-05-06,0.0
AUSTIN TX,30.1733,-97.9167,286.8,2017-05-07,0.0
AUSTIN TX,30.1733,-97.9167,286.8,2017-05-08,0.0
AUSTIN TX,30.1733,-97.9167,286.8,2017-05-09,0.0
AUSTIN TX,30.1733,-97.9167,286.8,2017-05-10,0.2
AUSTIN TX,30.1733,-97.9167,286.8,2017-05-11,0.0
AUSTIN TX,30.1733,-97.9167,286.8,2017-05-12,0.1
AUSTIN TX,30.1733,-97.9167,286.8,2017-05-13,0.0
AUSTIN TX,30.1733,-97.9167,286.8,2017-05-14,0.0
AUSTIN TX,30.1733,-97.9167,286.8,2017-05-15,0.0
AUSTIN TX,30.1733,-97.9167,286.8,2017-05-16,0.0
AUSTIN TX,30.1733,-97.9167,286.8,2017-05-17,0.08
AUSTIN TX,30.1733,-97.9167,286.8,2017-05-18,0.04
AUSTIN TX,30.1733,-97.9167,286.8,2017-05-19,0.0
AUSTIN TX,30.1733,-97.9167,286.8,2017-05-21,0.52
AUSTIN TX,30.1733,-97.9167,286.8,2017-05-23,0.03
AUSTIN TX,30.1733,-97.9167,286.8,2017-05-24,0.04
AUSTIN TX,30.1733,-97.9167,286.8,2017-05-25,0.0
AUSTIN TX,30.1733,-97.9167,286.8,2017-05-26,0.0
AUSTIN TX,30.1733,-97.9167,286.8,2017-05-27,0.0
AUSTIN TX,30.1733,-97.9167,286.8,2017-05-28,0.0
AUSTIN TX,30.1733,-97.9167,286.8,2017-05-29,0.19
AUSTIN TX,30.1733,-97.9167,286.8,2017-05-30,0.0
AUSTIN TX,30.1733,-97.9167,286.8,2017-05-31,0.0
AUSTIN TX,30.1733,-97.9167,286.8,2017-06-01,0.08
AUSTIN TX,30.1733,-97.9167,286.8,2017-06-02,0.0
AUSTIN TX,30.1733,-97.9167,286.8,2017-06-04,0.52
AUSTIN TX,30.1733,-97.9167,286.8,2017-06-05,0.1
AUSTIN TX,30.1733,-97.9167,286.8,2017-06-06,0.1
AUSTIN TX,30.1733,-97.9167,286.8,2017-06-07,0.0
AUSTIN TX,30.1733,-97.9167,286.8,2017-06-08,0.0
AUSTIN TX,30.1733,-97.9167,286.8,2017-06-11,0.0
AUSTIN TX,30.1733,-97.9167,286.8,2017-06-13,0.0
