STATION,LATITUDE,LONGITUDE,ELEVATION,DATE,PRCP
LOS ANGELES CA,34.13916,-118.11611,225.2,2016-01-01,0.0
LOS ANGELES CA,34.13916,-118.11611,225.2,2016-01-02,0.0
LOS ANGELES CA,34.13916,-118.11611,225.2,2016-01-03,0.0
LOS ANGELES CA,34.13916,-118.11611,225.2,2016-01-04,0.0
LOS ANGELES CA,34.13916,-118.11611,225.2,2016-01-05,2.64
LOS ANGELES CA,34.13916,-118.11611,225.2,2016-01-06,1.29
LOS ANGELES CA,34.13916,-118.11611,225.2,2016-01-07,0.24
LOS ANGELES CA,34.13916,-118.11611,225.2,2016-01-08,0.0
LOS ANGELES CA,34.13916,-118.11611,225.2,2016-01-09,0.0
LOS ANGELES CA,34.13916,-118.11611,225.2,2016-01-10,0.02
LOS ANGELES CA,34.13916,-118.11611,225.2,2016-01-11,0.0
LOS ANGELES CA,34.13916,-118.11611,225.2,2016-01-12,0.0
LOS ANGELES CA,34.13916,-118.11611,225.2,2016-01-13,0.0
LOS ANGELES CA,34.13916,-118.11611,225.2,2016-01-14,0.0
LOS ANGELES CA,34.13916,-118.11611,225.2,2016-01-15,0.0
LOS ANGELES CA,34.13916,-118.11611,225.2,2016-01-16,0.0
LOS ANGELES CA,34.13916,-118.11611,225.2,2016-01-17,0.0
LOS ANGELES CA,34.13916,-118.11611,225.2,2016-01-18,0.0
LOS ANGELES CA,34.13916,-118.11611,225.2,2016-01-19,0.04
LOS ANGELES CA,34.13916,-118.11611,225.2,2016-01-20,0.0
LOS ANGELES CA,34.13916,-118.11611,225.2,2016-01-21,0.0
LOS ANGELES CA,34.13916,-118.11611,225.2,2016-01-22,0.0
LOS ANGELES CA,34.13916,-118.11611,225.2,2016-01-23,0.0
LOS ANGELES CA,34.13916,-118.11611,225.2,2016-01-24,0.0
LOS ANGELES CA,34.13916,-118.11611,225.2,2016-01-25,0.0
LOS ANGELES CA,34.13916,-118.11611,225.2,2016-01-26,0.0
LOS ANGELES CA,34.13916,-118.11611,225.2,2016-01-27,0.0
LOS ANGELES CA,34.13916,-118.11611,225.2,2016-01-28,0.0
