STATION,LATITUDE,LONGITUDE,ELEVATION,DATE,PRCP
ORANGE COUNTY CA,33.639927,-117.838067,58.8,2016-01-01,0.0
ORANGE COUNTY CA,33.639927,-117.838067,58.8,2016-01-02,0.0
ORANGE COUNTY CA,33.639927,-117.838067,58.8,2016-01-05,0.0
ORANGE COUNTY CA,33.639927,-117.838067,58.8,2016-01-06,1.24
ORANGE COUNTY CA,33.639927,-117.838067,58.8,2016-01-07,0.92
ORANGE COUNTY CA,33.639927,-117.838067,58.8,2016-01-08,0.0
ORANGE COUNTY CA,33.639927,-117.838067,58.8,2016-01-19,0.0
ORANGE COUNTY CA,33.639927,-117.838067,58.8,2016-01-20,0.03
ORANGE COUNTY CA,33.639927,-117.838067,58.8,2016-01-26,0.0
ORANGE COUNTY CA,33.639927,-117.838067,58.8,2016-01-27,0.0
ORANGE COUNTY CA,33.639927,-117.838067,58.8,2016-01-31,0.03
ORANGE COUNTY CA,33.639927,-117.838067,58.8,2016-02-01,0.12
ORANGE COUNTY CA,33.639927,-117.838067,58.8,2016-02-18,0.31
ORANGE COUNTY CA,33.639927,-117.838067,58.8,2016-02-19,0.05
ORANGE COUNTY CA,33.639927,-117.838067,58.8,2016-02-24,0.0
ORANGE COUNTY CA,33.639927,-117.838067,58.8,2016-02-26,0.0
ORANGE COUNTY CA,33.639927,-117.838067,58.8,2016-02-28,0.0
ORANGE COUNTY CA,33.639927,-117.838067,58.8,2016-02-29,0.0
ORANGE COUNTY CA,33.639927,-117.838067,58.8,2016-03-01,0.0
ORANGE COUNTY CA,33.639927,-117.838067,58.8,2016-03-05,0.0
ORANGE COUNTY CA,33.639927,-117.838067,58.8,2016-03-06,0.5
ORANGE COUNTY CA,33.639927,-117.838067,58.8,2016-03-07,0.5
ORANGE COUNTY CA,33.639927,-117.838067,58.8,2016-03-08,0.23
ORANGE COUNTY CA,33.639927,-117.838067,58.8,2016-03-09,0.0
ORANGE COUNTY CA,33.639927,-117.838067,58.8,2016-03-12,0.56
ORANGE COUNTY CA,33.639927,-117.838067,58.8,2016-03-14,0.04
ORANGE COUNTY CA,33.639927,-117.838067,58.8,2016-03-15,0.05
ORANGE COUNTY CA,33.639927,-117.838067,58.8,2016-03-24,0.0
ORANGE COUNTY CA,33.639927,-117.838067,58.8,2016-03-26,0.0
ORANGE COUNTY CA,33.639927,-117.838067,58.8,2016-03-28,0.04
ORANGE COUNTY CA,33.639927,-117.838067,58.8,2016-03-29,0.02
ORANGE COUNTY CA,33.639927,-117.838067,58.8,2016-04-01,0.0
ORANGE COUNTY CA,33.639927,-117.838067,58.8,2016-04-08,0.07
ORANGE COUNTY CA,33.639927,-117.838067,58.8,2016-04-09,0.07
ORANGE COUNTY CA,33.639927,-117.838067,58.8,2016-04-10,0.11
ORANGE COUNTY CA,33.639927,-117.838067,58.8,2016-04-13,0.0
ORANGE COUNTY CA,33.639927,-117.838067,58.8,2016-04-14,0.0
ORANGE COUNTY CA,33.639927,-117.838067,58.8,2016-04-24,0.0
ORANGE COUNTY CA,33.639927,-117.838067,58.8,2016-04-28,0.0
ORANGE COUNTY CA,33.639927,-117.838067,58.8,2016-04-29,0.0
ORANGE COUNTY CA,33.639927,-117.838067,58.8,2016-05-02,0.0
ORANGE COUNTY CA,33.639927,-117.838067,58.8,2016-05-03,0.0
ORANGE COUNTY CA,33.639927,-117.838067,58.8,2016-05-06,0.03
ORANGE COUNTY CA,33.639927,-117.838067,58.8,2016-05-07,0.33
ORANGE COUNTY CA,33.639927,-117.838067,58.8,2016-05-09,0.0
ORANGE COUNTY CA,33.639927,-117.838067,58.8,2016-05-13,0.0
ORANGE COUNTY CA,33.639927,-117.838067,58.8,2016-05-15,0.0
ORANGE COUNTY CA,33.639927,-117.838067,58.8,2016-05-19,0.0
ORANGE COUNTY CA,33.639927,-117.838067,58.8,2016-05-21,0.0
ORANGE COUNTY CA,33.639927,-117.838067,58.8,2016-05-22,0.0
ORANGE COUNTY CA,33.639927,-117.838067,58.8,2016-05-26,0.0
ORANGE COUNTY CA,33.639927,-117.838067,58.8,2016-05-31,0.0
ORANGE COUNTY CA,33.639927,-117.838067,58.8,2016-06-28,0.0
ORANGE COUNTY CA,33.639927,-117.838067,58.8,2016-07-01,0.0
ORANGE COUNTY CA,33.639927,-117.838067,58.8,2016-07-05,0.0
ORANGE COUNTY CA,33.639927,-117.838067,58.8,2016-07-09,0.0
ORANGE COUNTY CA,33.639927,-117.838067,58.8,2016-07-15,0.0
ORANGE COUNTY CA,33.639927,-117.838067,58.8,2016-07-16,0.0
ORANGE COUNTY CA,33.639927,-117.838067,58.8,2016-07-23,0.0
ORANGE COUNTY CA,33.639927,-117.838067,58.8,2016-08-23,0.0
ORANGE COUNTY CA,33.639927,-117.838067,58.8,2016-08-25,0.0
ORANGE COUNTY CA,33.639927,-117.838067,58.8,2016-08-26,0.0
ORANGE COUNTY CA,33.639927,-117.838067,58.8,2016-08-27,0.0
ORANGE COUNTY CA,33.639927,-117.838067,58.8,2016-09-01,0.0
ORANGE COUNTY CA,33.639927,-117.838067,58.8,2016-09-06,0.0
ORANGE COUNTY CA,33.639927,-117.838067,58.8,2016-09-09,0.0
ORANGE COUNTY CA,33.639927,-117.838067,58.8,2016-09-14,0.02
ORANGE COUNTY CA,33.639927,-117.838067,58.8,2016-09-15,0.0
ORANGE COUNTY CA,33.639927,-117.838067,58.8,2016-09-29,0.0
ORANGE COUNTY CA,33.639927,-117.838067,58.8,2016-10-11,0.0
ORANGE COUNTY CA,33.639927,-117.838067,58.8,2016-10-12,0.0
ORANGE COUNTY CA,33.639927,-117.838067,58.8,2016-10-14,0.0
ORANGE COUNTY CA,33.639927,-117.838067,58.8,2016-10-17,0.12
ORANGE COUNTY CA,33.639927,-117.838067,58.8,2016-10-18,0.03
ORANGE COUNTY CA,33.639927,-117.838067,58.8,2016-10-24,0.2
ORANGE COUNTY CA,33.639927,-117.838067,58.8,2016-10-25,0.35
ORANGE COUNTY CA,33.639927,-117.838067,58.8,2016-10-27,0.0
ORANGE COUNTY CA,33.639927,-117.838067,58.8,2016-10-28,0.0
ORANGE COUNTY CA,33.639927,-117.838067,58.8,2016-10-30,0.0
ORANGE COUNTY CA,33.639927,-117.838067,58.8,2016-10-31,0.05
ORANGE COUNTY CA,33.639927,-117.838067,58.8,2016-11-03,0.0
ORANGE COUNTY CA,33.639927,-117.838067,58.8,2016-11-05,0.0
ORANGE COUNTY CA,33.639927,-117.838067,58.8,2016-11-06,0.0
ORANGE COUNTY CA,33.639927,-117.838067,58.8,2016-11-07,0.0
ORANGE COUNTY CA,33.639927,-117.838067,58.8,2016-11-10,0.0
ORANGE COUNTY CA,33.639927,-117.838067,58.8,2016-11-16,0.0
ORANGE COUNTY CA,33.639927,-117.838067,58.8,2016-11-18,0.0
ORANGE COUNTY CA,33.639927,-117.838067,58.8,2016-11-20,0.01
ORANGE COUNTY CA,33.639927,-117.838067,58.8,2016-11-21,0.6
ORANGE COUNTY CA,33.639927,-117.838067,58.8,2016-11-27,0.63
ORANGE COUNTY CA,33.639927,-117.838067,58.8,2016-12-02,0.0
ORANGE COUNTY CA,33.639927,-117.838067,58.8,2016-12-04,0.0
ORANGE COUNTY CA,33.639927,-117.838067,58.8,2016-12-05,0.0
ORANGE COUNTY CA,33.639927,-117.838067,58.8,2016-12-15,0.0
ORANGE COUNTY CA,33.639927,-117.838067,58.8,2016-12-16,0.88
ORANGE COUNTY CA,33.639927,-117.838067,58.8,2016-12-18,0.0
ORANGE COUNTY CA,33.639927,-117.838067,58.8,2016-12-25,
ORANGE COUNTY CA,33.639927,-117.838067,58.8,2016-12-26,0.0
ORANGE COUNTY CA,33.639927,-117.838067,58.8,2016-12-27,0.0
ORANGE COUNTY CA,33.639927,-117.838067,58.8,2016-12-30,0.02
ORANGE COUNTY CA,33.639927,-117.838067,58.8,2016-12-31,0.3
ORANGE COUNTY CA,33.639927,-117.838067,58.8,2017-01-01,0.2
ORANGE COUNTY CA,33.639927,-117.838067,58.8,2017-01-02,0.01
ORANGE COUNTY CA,33.639927,-117.838067,58.8,2017-01-03,0.0
ORANGE COUNTY CA,33.639927,-117.838067,58.8,2017-01-04,0.0
ORANGE COUNTY CA,33.639927,-117.838067,58.8,2017-01-05,0.14
ORANGE COUNTY CA,33.639927,-117.838067,58.8,2017-01-06,0.08
ORANGE COUNTY CA,33.639927,-117.838067,58.8,2017-01-07,0.0
ORANGE COUNTY CA,33.639927,-117.838067,58.8,2017-01-08,0.0
ORANGE COUNTY CA,33.639927,-117.838067,58.8,2017-01-09,0.38
ORANGE COUNTY CA,33.639927,-117.838067,58.8,2017-01-10,0.08
ORANGE COUNTY CA,33.639927,-117.838067,58.8,2017-01-11,0.1
ORANGE COUNTY CA,33.639927,-117.838067,58.8,2017-01-12,0.07
ORANGE COUNTY CA,33.639927,-117.838067,58.8,2017-01-13,0.39
ORANGE COUNTY CA,33.639927,-117.838067,58.8,2017-01-16,0.0
ORANGE COUNTY CA,33.639927,-117.838067,58.8,2017-01-17,0.0
ORANGE COUNTY CA,33.639927,-117.838067,58.8,2017-01-19,0.82
ORANGE COUNTY CA,33.639927,-117.838067,58.8,2017-01-20,0.16
ORANGE COUNTY CA,33.639927,-117.838067,58.8,2017-01-21,1.07
ORANGE COUNTY CA,33.639927,-117.838067,58.8,2017-01-22,0.04
ORANGE COUNTY CA,33.639927,-117.838067,58.8,2017-01-23,2.51
ORANGE COUNTY CA,33.639927,-117.838067,58.8,2017-01-24,0.06
ORANGE COUNTY CA,33.639927,-117.838067,58.8,2017-01-27,0.0
