STATION,LATITUDE,LONGITUDE,ELEVATION,DATE,PRCP
PITTSBURGH PA,40.41776,-79.85276,328.9,2017-07-15,0.04
PITTSBURGH PA,40.41776,-79.85276,328.9,2017-07-16,0.0
PITTSBURGH PA,40.41776,-79.85276,328.9,2017-07-17,0.0
PITTSBURGH PA,40.41776,-79.85276,328.9,2017-07-18,0.0
PITTSBURGH PA,40.41776,-79.85276,328.9,2017-07-19,0.0
PITTSBURGH PA,40.41776,-79.85276,328.9,2017-07-20,0.0
PITTSBURGH PA,40.41776,-79.85276,328.9,2017-07-21,0.0
PITTSBURGH PA,40.41776,-79.85276,328.9,2017-07-22,0.0
PITTSBURGH PA,40.41776,-79.85276,328.9,2017-07-23,0.33
PITTSBURGH PA,40.41776,-79.85276,328.9,2017-07-24,0.17
PITTSBURGH PA,40.41776,-79.85276,328.9,2017-07-25,0.0
PITTSBURGH PA,40.41776,-79.85276,328.9,2017-07-26,0.0
PITTSBURGH PA,40.41776,-79.85276,328.9,2017-07-27,0.0
PITTSBURGH PA,40.41776,-79.85276,328.9,2017-07-28,0.18
PITTSBURGH PA,40.41776,-79.85276,328.9,2017-07-29,2.94
PITTSBURGH PA,40.41776,-79.85276,328.9,2017-07-30,0.04
PITTSBURGH PA,40.41776,-79.85276,328.9,2017-07-31,0.0
PITTSBURGH PA,40.41776,-79.85276,328.9,2017-08-01,0.0
PITTSBURGH PA,40.41776,-79.85276,328.9,2017-08-02,0.0
PITTSBURGH PA,40.41776,-79.85276,328.9,2017-08-03,0.47
PITTSBURGH PA,40.41776,-79.85276,328.9,2017-08-04,0.0
PITTSBURGH PA,40.41776,-79.85276,328.9,2017-08-05,0.21
PITTSBURGH PA,40.41776,-79.85276,328.9,2017-08-06,0.03
PITTSBURGH PA,40.41776,-79.85276,328.9,2017-08-07,0.2
PITTSBURGH PA,40.41776,-79.85276,328.9,2017-08-08,0.21
PITTSBURGH PA,40.41776,-79.85276,328.9,2017-08-09,0.0
PITTSBURGH PA,40.41776,-79.85276,328.9,2017-08-10,0.0
PITTSBURGH PA,40.41776,-79.85276,328.9,2017-08-11,0.03
PITTSBURGH PA,40.41776,-79.85276,328.9,2017-08-12,0.11
PITTSBURGH PA,40.41776,-79.85276,328.9,2017-08-13,0.0
PITTSBURGH PA,40.41776,-79.85276,328.9,2017-08-14,0.0
PITTSBURGH PA,40.41776,-79.85276,328.9,2017-08-15,0.0
PITTSBURGH PA,40.41776,-79.85276,328.9,2017-08-16,0.0
PITTSBURGH PA,40.41776,-79.85276,328.9,2017-08-17,0.0
PITTSBURGH PA,40.41776,-79.85276,328.9,2017-08-18,0.38
PITTSBURGH PA,40.41776,-79.85276,328.9,2017-08-19,0.53
PITTSBURGH PA,40.41776,-79.85276,328.9,2017-08-20,0.94
PITTSBURGH PA,40.41776,-79.85276,328.9,2017-08-21,0.0
PITTSBURGH PA,40.41776,-79.85276,328.9,2017-08-22,0.02
PITTSBURGH PA,40.41776,-79.85276,328.9,2017-08-23,0.8
PITTSBURGH PA,40.41776,-79.85276,328.9,2017-08-24,0.02
PITTSBURGH PA,40.41776,-79.85276,328.9,2017-08-25,0.37
PITTSBURGH PA,40.41776,-79.85276,328.9,2017-08-26,0.01
PITTSBURGH PA,40.41776,-79.85276,328.9,2017-08-27,0.0
PITTSBURGH PA,40.41776,-79.85276,328.9,2017-08-28,0.0
PITTSBURGH PA,40.41776,-79.85276,328.9,2017-08-29,0.0
PITTSBURGH PA,40.41776,-79.85276,328.9,2017-08-30,0.0
PITTSBURGH PA,40.41776,-79.85276,328.9,2017-08-31,0.0
PITTSBURGH PA,40.41776,-79.85276,328.9,2017-09-01,0.0
PITTSBURGH PA,40.41776,-79.85276,328.9,2017-09-02,0.04
PITTSBURGH PA,40.41776,-79.85276,328.9,2017-09-03,0.28
PITTSBURGH PA,40.41776,-79.85276,328.9,2017-09-04,0.01
PITTSBURGH PA,40.41776,-79.85276,328.9,2017-09-05,0.3
PITTSBURGH PA,40.41776,-79.85276,328.9,2017-09-06,0.1
PITTSBURGH PA,40.41776,-79.85276,328.9,2017-09-07,0.0
PITTSBURGH PA,40.41776,-79.85276,328.9,2017-09-08,0.07
PITTSBURGH PA,40.41776,-79.85276,328.9,2017-09-09,0.0
PITTSBURGH PA,40.41776,-79.85276,328.9,2017-09-10,0.0
PITTSBURGH PA,40.41776,-79.85276,328.9,2017-09-11,0.0
PITTSBURGH PA,40.41776,-79.85276,328.9,2017-09-12,0.0
PITTSBURGH PA,40.41776,-79.85276,328.9,2017-09-13,0.0
PITTSBURGH PA,40.41776,-79.85276,328.9,2017-09-14,0.25
PITTSBURGH PA,40.41776,-79.85276,328.9,2017-09-15,0.02
PITTSBURGH PA,40.41776,-79.85276,328.9,2017-09-16,0.0
PITTSBURGH PA,40.41776,-79.85276,328.9,2017-09-17,0.0
PITTSBURGH PA,40.41776,-79.85276,328.9,2017-09-18,0.0
PITTSBURGH PA,40.41776,-79.85276,328.9,2017-09-19,0.0
PITTSBURGH PA,40.41776,-79.85276,328.9,2017-09-20,0.0
PITTSBURGH PA,40.41776,-79.85276,328.9,2017-09-21,0.0
PITTSBURGH PA,40.41776,-79.85276,328.9,2017-09-23,0.0
PITTSBURGH PA,40.41776,-79.85276,328.9,2017-09-24,0.0
PITTSBURGH PA,40.41776,-79.85276,328.9,2017-09-25,0.0
PITTSBURGH PA,40.41776,-79.85276,328.9,2017-09-26,0.0
PITTSBURGH PA,40.41776,-79.85276,328.9,2017-09-27,0.0
PITTSBURGH PA,40.41776,-79.85276,328.9,2017-09-28,0.0
PITTSBURGH PA,40.41776,-79.85276,328.9,2017-09-29,0.0
PITTSBURGH PA,40.41776,-79.85276,328.9,2017-09-30,0.03
PITTSBURGH PA,40.41776,-79.85276,328.9,2017-10-01,0.0
PITTSBURGH PA,40.41776,-79.85276,328.9,2017-10-02,0.0
PITTSBURGH PA,40.41776,-79.85276,328.9,2017-10-04,0.0
PITTSBURGH PA,40.41776,-79.85276,328.9,2017-10-05,0.0
PITTSBURGH PA,40.41776,-79.85276,328.9,2017-10-06,0.88
PITTSBURGH PA,40.41776,-79.85276,328.9,2017-10-07,0.0
PITTSBURGH PA,40.41776,-79.85276,328.9,2017-10-08,0.29
PITTSBURGH PA,40.41776,-79.85276,328.9,2017-10-09,0.43
PITTSBURGH PA,40.41776,-79.85276,328.9,2017-10-10,0.03
PITTSBURGH PA,40.41776,-79.85276,328.9,2017-10-11,0.03
PITTSBURGH PA,40.41776,-79.85276,328.9,2017-10-12,0.17
PITTSBURGH PA,40.41776,-79.85276,328.9,2017-10-14,0.0
PITTSBURGH PA,40.41776,-79.85276,328.9,2017-10-15,0.0
PITTSBURGH PA,40.41776,-79.85276,328.9,2017-10-16,0.11
PITTSBURGH PA,40.41776,-79.85276,328.9,2017-10-17,0.0
PITTSBURGH PA,40.41776,-79.85276,328.9,2017-10-18,0.0
PITTSBURGH PA,40.41776,-79.85276,328.9,2017-10-19,0.0
PITTSBURGH PA,40.41776,-79.85276,328.9,2017-10-20,0.0
PITTSBURGH PA,40.41776,-79.85276,328.9,2017-10-21,0.0
PITTSBURGH PA,40.41776,-79.85276,328.9,2017-10-22,0.0
PITTSBURGH PA,40.41776,-79.85276,328.9,2017-10-23,0.0
PITTSBURGH PA,40.41776,-79.85276,328.9,2017-10-24,1.21
PITTSBURGH PA,40.41776,-79.85276,328.9,2017-10-25,0.02
PITTSBURGH PA,40.41776,-79.85276,328.9,2017-10-26,0.02
